Process_ID,User_Name,Priority,Nice_Value,Virtual_Memory_Size,Resident_Memory_size,Shared_Memory_Size,Process_Status,CPU_Usage,Memory_Usage,CPU_Time,Command_Name
59022,isme,20,0,38064,25412,8892,R,93.3,0.3,0:00.14,poetry
59022,isme,20,0,52968,37460,10060,R,100.0,0.5,0:00.30,poetry
59022,isme,20,0,36948,25424,9652,R,80.0,0.3,0:00.42,python
59022,isme,20,0,1593996,34792,11084,S,60.0,0.4,0:00.51,python
59022,isme,20,0,1593996,34792,11084,S,0.0,0.4,0:00.51,python
59022,isme,20,0,1593996,34792,11084,S,0.0,0.4,0:00.51,python
59022,isme,20,0,1593996,35296,11340,S,53.3,0.4,0:00.59,python
59022,isme,20,0,1593996,50268,11340,S,240.0,0.6,0:00.95,python
59022,isme,20,0,1593996,50268,11340,S,37.5,0.6,0:01.01,python
59022,isme,20,0,1593996,50268,11340,S,6.7,0.6,0:01.02,python
59022,isme,20,0,1593996,50268,11340,S,166.7,0.6,0:01.28,python
59022,isme,20,0,1593996,50856,11404,S,80.0,0.6,0:01.41,python
59022,isme,20,0,1594252,50856,11404,S,43.8,0.6,0:01.48,python
59022,isme,20,0,1595020,51648,11404,S,113.3,0.7,0:01.66,python
59022,isme,20,0,1597068,53808,11456,S,106.7,0.7,0:01.82,python
59022,isme,20,0,1597836,55392,11456,S,86.7,0.7,0:01.96,python
59022,isme,20,0,1598092,55392,11456,S,113.3,0.7,0:02.14,python
59022,isme,20,0,1598604,55920,11456,S,120.0,0.7,0:02.32,python
59022,isme,20,0,1600908,57504,11456,S,100.0,0.7,0:02.49,python
59022,isme,20,0,1602188,60144,11456,S,60.0,0.8,0:02.58,python
59022,isme,20,0,1602700,60672,11456,S,113.3,0.8,0:02.76,python
59022,isme,20,0,1604492,62256,11456,S,73.3,0.8,0:02.87,python
59022,isme,20,0,1577076,88760,11456,S,113.3,1.1,0:03.05,python
59022,isme,20,0,1645708,110108,11456,S,166.7,1.4,0:03.31,python
59022,isme,20,0,1645964,110108,11456,S,226.7,1.4,0:03.66,python
59022,isme,20,0,1647500,111812,11456,S,226.7,1.4,0:04.01,python
59022,isme,20,0,1659532,132928,11456,S,140.0,1.7,0:04.22,python
59022,isme,20,0,1682572,170416,11456,S,126.7,2.2,0:04.41,python
59022,isme,20,0,1686156,175168,11456,S,140.0,2.2,0:04.62,python
59022,isme,20,0,1686156,175168,11456,S,226.7,2.2,0:04.96,python
59022,isme,20,0,1686156,175168,11456,S,226.7,2.2,0:05.31,python
59022,isme,20,0,1687180,176752,11456,S,86.7,2.2,0:05.45,python
59022,isme,20,0,1687180,176752,11456,S,200.0,2.2,0:05.75,python
59022,isme,20,0,1687180,176752,11456,S,53.3,2.2,0:05.93,python
59022,isme,20,0,1688716,177508,11456,S,26.7,2.2,0:05.97,python
59022,isme,20,0,1697164,173816,11456,S,120.0,2.2,0:06.16,python
59022,isme,20,0,1718668,193812,11456,S,120.0,2.5,0:06.35,python
59022,isme,20,0,1724812,199876,11456,S,133.3,2.5,0:06.55,python
59022,isme,20,0,1724812,199876,11456,S,206.7,2.5,0:06.87,python
59022,isme,20,0,1724812,199876,11456,S,233.3,2.5,0:07.23,python
59022,isme,20,0,1740428,212800,11456,S,173.3,2.7,0:07.50,python
59022,isme,20,0,1751692,223920,11456,S,113.3,2.8,0:07.67,python
59022,isme,20,0,1764492,233296,11456,S,133.3,3.0,0:07.87,python
59022,isme,20,0,1764748,233296,11456,S,213.3,3.0,0:08.19,python
59022,isme,20,0,1764748,233296,11456,S,233.3,3.0,0:08.55,python
59022,isme,20,0,1765772,234084,11456,S,218.8,3.0,0:08.90,python
59022,isme,20,0,1765772,238308,11456,S,100.0,3.0,0:09.29,python
59022,isme,20,0,1771660,244860,11456,S,53.3,3.1,0:09.37,python
59022,isme,20,0,1787532,264924,11456,S,173.3,3.4,0:09.63,python
59022,isme,20,0,1792908,270716,11456,S,162.5,3.4,0:09.90,python
59022,isme,20,0,1792908,269288,11456,S,100.0,3.4,0:10.06,python
59022,isme,20,0,1801868,276360,11456,S,173.3,3.5,0:10.32,python
59022,isme,20,0,1802380,276624,11456,S,140.0,3.5,0:10.54,python
59022,isme,20,0,1802380,278988,11456,S,153.3,3.5,0:10.77,python
59022,isme,20,0,1802380,278988,11456,S,20.0,3.5,0:10.80,python
59022,isme,20,0,1663048,282016,11456,R,86.7,3.6,0:10.93,python
59022,isme,20,0,1663048,282016,11456,R,100.0,3.6,0:11.08,python
59022,isme,20,0,1663048,282016,11456,R,100.0,3.6,0:11.24,python
